Date,Open,High,Low,Close,Volume
2014-04-17,35.66,36.52,35.37,35.85,550825
2014-04-21,36.1,37.05,35.67,36.535,516268
2014-04-22,36.76,37.749,36.61,36.96,476349
2014-04-23,37.0,37.25,36.36,36.58,319164
2014-04-24,37.04,37.35,36.63,37.3,705423
2014-04-25,37.04,37.32,36.1,36.56,428437
2014-04-28,36.01,37.32,35.461,36.11,741112
2014-04-29,36.12,37.15,35.98,36.97,731294
2014-04-30,36.96,36.97,35.651,36.35,825308
2014-05-01,39.0,41.3,38.04,39.5,1799668
2014-05-02,39.22,39.5,38.01,38.76,819640
2014-05-05,38.54,40.2,38.08,39.83,1018831
2014-05-06,39.63,39.95,38.61,38.64,754210
2014-05-07,39.0,39.24,37.04,37.79,788708
2014-05-08,37.8,38.71,37.301,37.78,499970
2014-05-09,37.67,38.52,37.05,38.21,486218
2014-05-12,38.65,40.17,38.65,39.49,754843
2014-05-13,39.8,40.28,39.17,39.85,869851
2014-05-14,40.05,40.17,38.98,39.16,486770
2014-05-15,38.89,39.21,38.001,38.93,480765
2014-05-16,38.97,39.82,38.48,39.79,380108
2014-05-19,38.5,41.44,38.5,40.99,954798
2014-05-20,41.33,41.58,39.99,40.29,606867
2014-05-21,40.54,41.81,40.31,41.73,584074
2014-05-22,42.09,42.43,41.751,42.06,602043
2014-05-23,42.11,42.92,41.77,42.9,493307
2014-05-27,43.95,43.99,41.011,41.2,1111726
2014-05-28,41.22,41.84,40.52,40.65,695352
2014-05-29,40.95,41.82,40.87,41.42,691743
2014-05-30,41.2,41.8,40.92,41.13,485302
2014-06-02,41.43,41.59,39.62,39.74,906563
2014-06-03,39.32,39.92,37.3975,39.84,795048
2014-06-04,39.7,41.86,39.35,41.77,923452
2014-06-05,42.0,42.5,41.176,42.34,473437
2014-06-06,42.5,43.74,42.398,43.36,735527
2014-06-09,43.51,44.49,43.41,43.62,722223
2014-06-10,43.5,43.6199,42.75,43.16,413358
2014-06-11,42.9,42.905,41.76,42.08,496521
2014-06-12,41.97,42.28,41.27,41.47,411753
2014-06-13,41.54,42.32,41.3,42.18,337754
2014-06-16,42.2,42.9,42.0399,42.45,430390
2014-06-17,42.54,43.12,42.27,42.74,333380
2014-06-18,42.89,43.32,42.32,43.14,369203
2014-06-19,43.18,44.23,43.18,43.68,688882
2014-06-20,43.72,43.9199,42.52,42.93,1120987
2014-06-23,43.11,43.23,42.3,42.87,386563
2014-06-24,42.94,44.2,42.54,42.57,397636
2014-06-25,42.12,42.6,41.56,42.58,446733
2014-06-26,42.68,43.02,41.78,42.78,360901
2014-06-27,42.47,44.31,42.47,43.72,781930
2014-06-30,43.87,44.89,43.09,44.45,730829
2014-07-01,44.65,45.47,44.19,45.35,629100
2014-07-02,45.14,46.44,45.0,45.33,570227
2014-07-03,45.57,45.98,45.36,45.75,393587
2014-07-07,45.78,46.0,45.0725,45.33,397464
2014-07-08,45.29,45.33,43.81,44.87,516324
2014-07-09,44.88,46.02,44.88,45.65,353711
2014-07-10,44.63,45.94,44.21,45.61,467974
2014-07-11,45.6,46.519,45.0,46.45,355579
2014-07-14,47.01,48.0,46.68,47.81,691933
2014-07-15,47.81,48.21,46.55,47.24,434059
2014-07-16,47.73,47.9399,47.04,47.09,375880
2014-07-17,46.83,47.3,46.27,46.61,400091
2014-07-18,46.52,47.57,46.27,47.26,480397
2014-07-21,47.2,47.5399,46.79,47.42,349859
2014-07-22,47.68,48.75,47.55,47.66,490077
2014-07-23,48.06,49.23,48.0,48.65,717868
2014-07-24,48.97,49.14,47.03,47.71,677752
2014-07-25,47.5,47.69,47.03,47.45,262149
2014-07-28,47.72,47.85,46.3,46.62,419426
2014-07-29,46.73,47.2,44.1,44.63,1248028
2014-07-30,44.98,45.29,42.5,42.69,1327013
2014-07-31,42.15,42.95,41.31,41.85,1227024
2014-08-01,42.75,44.7999,42.06,44.1,1431107
2014-08-04,44.18,44.979,42.92,43.01,1023480
2014-08-05,42.88,43.84,42.3574,43.09,659864
2014-08-06,42.58,44.18,42.28,43.76,466434
2014-08-07,43.84,44.61,43.36,43.56,426714
